,course_name,instructor,course description,reviews_avg,reviews_count,course_duration,lectures_count,level,price_after_discount,main_price,course_flag,students_count,len descreption,amount of discount
0,2022 Complete Python Bootcamp From Zero to Hero in Python,Jose Portilla,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,4.6,440383,22.0,155,All Levels,319.99,1399.99,Normal,1629692.0,118,1080.0
1,The Web Developer Bootcamp 2022,Colt Steele,"COMPLETELY REDONE - The only course you need to learn web development - HTML, CSS, JS, Node, and More!",4.7,248508,64.0,615,All Levels,269.99,1399.99,Normal,830559.0,102,1130.0
2,The Complete 2022 Web Development Bootcamp,Dr. Angela Yu,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, Web3 and DApps",4.7,234837,65.5,490,All Levels,349.99,1699.99,Bestseller,794897.0,115,1350.0
3,Angular - The Complete Guide (2023 Edition),Maximilian Schwarzmüller,"Master Angular 14 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",4.6,174576,34.5,472,All Levels,319.99,1599.99,Bestseller,634196.0,110,1280.0
4,Java Programming Masterclass covering Java 11 & Java 17,"Tim Buchalka, Tim Buchalka's Learn Programming Academy",Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,4.5,171838,80.5,401,All Levels,349.99,849.99,Bestseller,727934.0,115,500.0
5,"React - The Complete Guide (incl Hooks, React Router, Redux)","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!",4.6,166128,49.5,495,All Levels,319.99,1599.99,Bestseller,649985.0,118,1280.0
6,Machine Learning A-Z™: Hands-On Python & R In Data Science,"Kirill Eremenko, Hadelin de Ponteves, Ligency I Team, Ligency Team",Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,4.5,163104,42.5,287,All Levels,269.99,1299.99,Normal,900823.0,115,1030.0
7,The Complete JavaScript Course 2023: From Zero to Expert!,Jonas Schmedtmann,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",4.7,156031,69.0,320,All Levels,349.99,1699.99,Bestseller,699335.0,119,1350.0
8,100 Days of Code: The Complete Python Pro Bootcamp for 2022,Dr. Angela Yu,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",4.7,150024,64.0,676,All Levels,319.99,1399.99,Bestseller,662274.0,115,1080.0
9,Python for Data Science and Machine Learning Bootcamp,Jose Portilla,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",4.6,122487,25.0,165,All Levels,319.99,1399.99,Bestseller,588524.0,119,1080.0
10,The Data Science Course 2022: Complete Data Science Bootcamp,"365 Careers, 365 Careers Team","Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",4.6,114535,32.0,517,All Levels,319.99,1699.99,Bestseller,539202.0,119,1380.0
11,Automate the Boring Stuff with Python Programming,Al Sweigart,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",4.7,103366,9.5,51,All Levels,319.99,479.99,Normal,1060445.0,120,160.0
12,Complete C# Unity Game Developer 2D,"GameDev.tv Team, Rick Davidson, Gary Pettie","Learn Unity in C# & Code Your First Five 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap",4.7,96126,18.5,140,All Levels,349.99,1599.99,Normal,433485.0,102,1250.0
13,Learn Python Programming Masterclass,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,4.6,94413,72.5,534,All Levels,269.99,849.99,Normal,394722.0,118,580.0
14,Selenium WebDriver with Java -Basics to Advanced+Frameworks,Rahul Shetty,"""TOP RATED  #1 Master SELENIUM java 4.0 (Latest) course"" -5 Million students learning worldWide with great collaboration",4.6,89742,53.5,327,All Levels,319.99,1399.99,Bestseller,280503.0,120,1080.0
15,Build Responsive Real-World Websites with HTML and CSS,Jonas Schmedtmann,"Learn modern HTML5, CSS3 and web design by building a stunning website for your portfolio! Includes flexbox and CSS Grid",4.8,85094,37.5,151,All Levels,349.99,1699.99,Bestseller,341962.0,120,1350.0
16,iOS & Swift - The Complete iOS App Development Bootcamp,Dr. Angela Yu,From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI!,4.8,80067,60.5,542,All Levels,349.99,1699.99,Bestseller,311592.0,120,1350.0
17,Modern React with Redux,Stephen Grider,"Master React and Redux with React Router, Webpack, and Create-React-App.  Includes Hooks!",4.7,77591,52.5,574,All Levels,319.99,1399.99,Bestseller,275832.0,89,1080.0
18,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,"Colt Steele, Ian Schoonover","JUST COMPLETELY REDONE!  Master SQL, Work With Complex Databases, Build Reports, and More!",4.6,74438,37.5,650,Beginner,319.99,1399.99,Bestseller,344881.0,90,1080.0
19,The Complete Web Developer Course 2.0,"Rob Percival, Codestars • over 2 million students worldwide!","Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!",4.6,70448,28.5,288,All Levels,269.99,1299.99,Normal,304994.0,117,1030.0
20,The Complete Node.js Developer Course (3rd Edition),"Andrew Mead, Rob Percival","Learn Node.js by building real-world applications with Node JS, Express, MongoDB, Jest, and more!",4.6,67880,35.0,177,All Levels,269.99,629.99,Normal,283695.0,97,360.0
21,Spring & Hibernate for Beginners (includes Spring Boot),Chad Darby,"Spring 5: Learn Spring 5 Core, AOP, Spring MVC, Spring Security, Spring REST, Spring Boot 2, Thymeleaf, JPA & Hibernate",4.6,66391,42.5,568,All Levels,349.99,1699.99,Bestseller,282683.0,119,1350.0
22,Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,"Sam Pattuzzi, GameDev.tv Team, Stephen Ulibarri",Created in collaboration with Epic Games. Learn C++ from basics while making your first 5 video games in Unreal,4.7,61325,29.5,207,All Levels,269.99,1299.99,Bestseller,319855.0,111,1030.0
23,The Python Mega Course: Learn Python in 40 Days with 18 Apps,Ardit Sulce,"New in 2022! Take the full course to become a Python programmer, or pick any project to master specific areas of Python.",4.6,59372,36.5,335,All Levels,319.99,1399.99,Normal,279373.0,120,1080.0
24,C# Basics for Beginners: Learn C# Fundamentals by Coding,Mosh Hamedani,"Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!",4.5,57641,5.5,87,Beginner,349.99,1399.99,Normal,191563.0,114,1050.0
25,The Complete Web Developer in 2023: Zero to Mastery,"Andrei Neagoie, Zero To Mastery","Learn to code and become a Web Developer in 2023 with HTML, CSS, Javascript, React, Node.js, Machine Learning & more!",4.7,57562,38.5,399,All Levels,319.99,1699.99,Normal,197701.0,117,1380.0
26,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,"Bret Fisher, Docker Captain Program","Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, Swarm and Registry using DevOps",4.7,56703,20.0,180,All Levels,349.99,1699.99,Bestseller,280933.0,120,1350.0
27,Vue - The Complete Guide (incl. Router & Composition API),Maximilian Schwarzmüller,Vue.js is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,4.7,56394,32.0,329,All Levels,319.99,1599.99,Bestseller,206761.0,118,1280.0
28,Flutter & Dart - The Complete Guide [2023 Edition],"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",A Complete Guide to the Flutter SDK & Flutter Framework for building native iOS and Android apps,4.6,54299,42.5,378,All Levels,319.99,1599.99,Bestseller,216495.0,96,1280.0
29,Beginning C++ Programming - From Beginner to Beyond,"Tim Buchalka's Learn Programming Academy, Dr. Frank Mitropoulos",Obtain Modern C++ Object-Oriented Programming (OOP) and STL skills. C++14 and C++17 covered.  C++20 info see below.,4.6,53453,46.0,305,All Levels,349.99,849.99,Bestseller,223168.0,115,500.0
30,Docker and Kubernetes: The Complete Guide,Stephen Grider,"Build, test, and deploy Docker applications with Kubernetes while learning production-style development workflows",4.7,51210,22.0,321,All Levels,269.99,719.99,Normal,264566.0,113,450.0
31,R Programming A-Z™: R For Data Science With Real Exercises!,"Kirill Eremenko, Ligency I Team, Ligency Team","Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",4.6,48259,10.5,79,All Levels,269.99,1399.99,Bestseller,242563.0,117,1130.0
32,JavaScript: Understanding the Weird Parts,Anthony Alicea,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",4.8,45752,12.0,89,All Levels,349.99,1299.99,Normal,180386.0,116,950.0
33,The Complete 2021 Flutter Development Bootcamp with Dart,Dr. Angela Yu,Officially created in collaboration with the Google Flutter team.,4.6,45652,29.0,217,All Levels,349.99,1599.99,Normal,156400.0,65,1250.0
34,Python and Django Full Stack Web Developer Bootcamp,Jose Portilla,"Learn to build websites with HTML , CSS , Bootstrap , Javascript , jQuery , Python 3 , and Django!",4.5,45321,32.0,198,All Levels,319.99,1699.99,Bestseller,186915.0,98,1380.0
35,The Python Bible™ | Everything You Need to Program in Python,"Ziyad Yehia, Internet of Things Academy",Build 11 Projects and go from Beginner to Pro in Python with the World's Most Fun Project-Based Python Course!,4.6,43753,9.0,74,Beginner,319.99,1599.99,Normal,146452.0,110,1280.0
